,TCGA-A1-A0SK,TCGA-A1-A0SO,TCGA-A2-A04P,TCGA-A2-A04Q,TCGA-A2-A04T,TCGA-A2-A04U,TCGA-A2-A0CM,TCGA-A2-A0D0,TCGA-A2-A0D2,TCGA-A2-A0ST,TCGA-A2-A0SX,TCGA-A2-A0T0,TCGA-A2-A0T2,TCGA-A2-A0YE,TCGA-A2-A0YJ,TCGA-A2-A0YM,TCGA-A7-A0CE,TCGA-A7-A0DA,TCGA-A7-A13D,TCGA-A7-A13E,TCGA-A8-A07C,TCGA-A8-A07O,TCGA-A8-A07R,TCGA-A8-A07U,TCGA-A8-A08H,TCGA-A8-A08R,TCGA-AN-A04D,TCGA-AN-A0AL,TCGA-AN-A0AR,TCGA-AN-A0AT,TCGA-AN-A0FJ,TCGA-AN-A0FL,TCGA-AN-A0FX,TCGA-AN-A0G0,TCGA-AN-A0XU,TCGA-AO-A0J4,TCGA-AO-A0J6,TCGA-AO-A0JL,TCGA-AO-A124,TCGA-AO-A128,TCGA-AO-A129,TCGA-AO-A12F,TCGA-AQ-A04J,TCGA-AR-A0TP,TCGA-AR-A0TS,TCGA-AR-A0TU,TCGA-AR-A0U0,TCGA-AR-A0U4,TCGA-AR-A1AH,TCGA-AR-A1AI,TCGA-AR-A1AJ,TCGA-AR-A1AQ,TCGA-AR-A1AR,TCGA-AR-A1AY,TCGA-B6-A0I2,TCGA-B6-A0I6,TCGA-B6-A0IJ,TCGA-B6-A0IQ,TCGA-B6-A0RE,TCGA-B6-A0RT,TCGA-B6-A0RU,TCGA-B6-A0WX,TCGA-B6-A0X1,TCGA-BH-A0AV,TCGA-BH-A0B3,TCGA-BH-A0B9,TCGA-BH-A0BG,TCGA-BH-A0BL,TCGA-BH-A0BW,TCGA-BH-A0DL,TCGA-BH-A0E0,TCGA-BH-A0E6,TCGA-BH-A0RX,TCGA-BH-A0WA,TCGA-BH-A18G,TCGA-BH-A18K,TCGA-BH-A18Q,TCGA-BH-A18V,TCGA-BH-A1F0,TCGA-C8-A12K,TCGA-C8-A12V,TCGA-C8-A131,TCGA-C8-A134,TCGA-D8-A142,TCGA-D8-A143,TCGA-D8-A147,TCGA-E2-A14N,TCGA-E2-A14R,TCGA-E2-A14X,TCGA-E2-A14Y,TCGA-E2-A150,TCGA-E2-A158,TCGA-E2-A159,TCGA-E2-A1AZ,TCGA-E2-A1B5
CD82,-0.34225,1.2055,2.2975,2.31725,1.49825,2.0935,0.6995,1.112,1.97425,2.752,2.1995,1.86875,2.93975,1.0315,1.5445,1.70775,1.0015,1.77775,1.36725,1.023,1.83125,1.42025,2.00325,2.3225,1.5235,1.5985,1.9975,2.95425,1.14,0.53775,1.18875,2.50025,0.32125,1.157,0.78475,1.148,2.67525,0.79525,2.1319999999999997,2.28975,1.50375,0.1615,2.7439999999999998,1.97175,2.2115,-0.03275,1.97,2.0855,1.663,2.15975,1.92975,1.8545,1.764,-0.005,2.21825,1.73175,0.9990000000000001,1.3755,1.5585,1.6805,1.50125,2.35575,2.48325,1.79075,1.78925,1.73025,1.06675,1.36275,1.86575,3.0495,1.85975,1.4365,1.5405,1.65825,2.0515,0.163,1.9775,2.49825,2.4659999999999997,1.19175,1.48925,1.64075,2.19375,1.80975,1.4655,1.19575,0.50175,1.62275,2.2345,1.828,2.54675,0.5165,1.82075,1.78975,1.08425
RICTOR,-0.634,-1.1967,-1.1571,-0.6567,-1.1449,-2.2222,-1.3085,-0.4931,-1.4385,-0.0485,-0.5265,-1.8264,-1.3636,-0.8981,-1.374,-1.3459,-1.3455,-0.2996,-0.7726,-0.2425,-0.7671,-0.6752,-1.5372,-0.27699999999999997,-0.9509,-0.9294,-1.4059,-1.7183,-1.431,-1.8775,-0.5147,-1.5627,-0.2372,-1.4034,-0.7805,-1.3239,-1.0195,-0.8985,-0.6281,-0.7309,-0.8421,-1.1773,-0.7664,-1.0395,-0.7178,-0.9781,-1.1127,-1.0696,-1.2872222222,-0.7685,-0.4563,-1.5668,-1.3165,-0.44311111111111107,-0.7989,-1.3090000000000002,-0.7864,-0.4031,-0.5885,-0.4052,-1.294,-0.4201,-0.6037,-0.8804,-1.5825,-0.5429,-1.0051,-0.7534,-0.6571,-1.307,-1.63155555555556,-1.7252,-1.1441,-1.4421,-1.6928,-1.7965,-0.4201,-1.3358,-0.3563,-1.3119,-0.6357,-0.0428,-1.5362,-0.5646,-1.6969,-1.1487,-1.49277777777778,-1.0274,-0.9985,-1.1674,-0.8811,-0.4199,-2.1826,-0.6863,-1.0361
POLD2,-0.6755,0.126,-1.602333,-1.18083333333333,-0.4358333,-1.630167,-1.040667,-0.0655,-1.024667,-0.7241666666666671,-1.24983333333333,-0.6976666667,-0.914,-0.22983330000000002,0.0245,-0.1751667,-0.7490000000000001,-0.789,-0.22366666666666699,-0.27766666666666695,-1.4685,-0.5670000000000001,-1.0605,-0.5075,-1.75666666666667,-1.325667,-1.1251666667,-1.2885,-0.1658333333,0.2633333,-0.596666666666667,-1.535167,-0.9973333000000001,-0.3828333333333329,-0.4956667,-0.964333333,-0.5405,-1.52583333333333,0.19566670000000003,-0.49,-0.6506666999999999,-0.777,-0.47533329999999996,0.17066666666666697,-0.79,-1.0503333333,-0.4295,-1.137333,-0.3015,-0.5456666666666671,-0.40700000000000003,-1.107,0.0573333333333333,-0.615166666666667,-0.7645,-0.4238333333333329,-0.8936666666666658,-0.6458333333,0.4371666666666671,-0.575333333333333,-0.30116666670000003,-1.071333,-0.0368333333,-0.608166666666667,-0.6141667,-0.02066667,-0.977666666666667,-1.104167,-1.11583333333333,-0.9193333,-0.4095,-1.7821666666999998,-1.216833,-0.5146667,-1.06133333333333,-0.004,-0.7796666666666671,0.39299999999999996,-1.459,-1.627833,-1.14916666666667,-0.5833333,-0.626833333333333,-1.1998333333,-0.343333333333333,-0.8476667,-0.581166666666667,-0.612333333333333,-1.0376670000000001,-0.563,-0.6715,-0.5051667000000001,-0.0185,-0.7909999999999999,-0.9266667
PTCRA,-0.887,-0.076,0.34299999999999997,0.37200000000000005,0.025,-0.08900000000000001,0.247,0.11199999999999999,0.8355,1.5625,0.39,0.1155,0.221,-0.24600000000000002,-0.2365,0.0125,-0.6095,-0.3135,0.0905,-0.0715,0.14,0.1595,-0.248,1.3595,1.5435,0.561,-0.3495,0.3435,-0.0925,-0.1455,-0.71,0.061,-0.3165,-0.332,-0.5295,0.718,-0.652,0.1885,-0.064,1.3005,0.1105,-0.213,0.5539999999999999,-0.5265,1.9765,-0.0415,0.6940000000000001,0.483,-0.3645,0.5415,0.7865,0.6355,0.6655,-0.925,0.695,-0.33,0.33,-0.218,-0.0925,2.293,-0.221,-0.37200000000000005,0.2535,-0.36700000000000005,0.013000000000000001,0.48,0.1,0.9585,0.7065,1.0915,0.6905,-0.1435,0.591,-0.2085,0.7035,-0.0605,-0.2685,0.226,1.5125,0.598,1.0555,0.1055,0.1555,-0.0305,-0.249,-0.2285,0.18,0.5855,-0.259,0.22899999999999998,0.162,0.1,0.494,1.1345,2.3245
FST,-3.53375,-5.181,-4.3225,-3.88025,-4.132,-3.77625,-2.872,-3.21575,-4.20225,-4.3775,-4.69075,-3.3045,-4.40375,-3.48975,-4.4323333333,-4.5765,-3.70825,-2.444,-3.41325,-3.85375,-4.37775,-4.2215,-3.60725,-3.46875,-3.43325,-4.1285,-4.841,-4.045,-4.313,-4.442,-3.80675,-4.69425,-2.984,-4.38975,-4.31825,-3.4105,-4.89375,-3.77725,-5.74825,-1.79025,-3.94375,-2.48,-3.34375,-4.3045,-4.08975,-4.52025,-4.83075,-4.02375,-4.54475,-4.3085,-4.0975,-4.14425,-4.35825,-4.0795,-2.78825,-1.47325,-4.4295,-3.3375,-4.24325,-3.9419999999999997,-2.5505,0.013999999999999999,-4.6445,-1.7445,-3.6415,-4.3035,-3.3710000000000004,-2.184,-3.83225,-3.04675,-3.0235,-3.7195,-2.8385,-3.19,-3.282,-4.702,-2.84925,-3.9585,-2.908,-4.5255,-3.91925,-2.48425,-4.08525,-3.34575,-4.81025,-3.12175,-4.607,-3.22875,-4.19075,-3.65975,-4.21825,-4.15275,-4.36325,-3.62375,-3.52675
E2F4,-1.1205,-1.3579,-1.2255,-0.8317,-0.1776,-0.6938,-0.2611,1.0427,-0.3261,-0.7565,-0.159,-1.1239,-1.63,-1.1188,-0.7283,-0.9145,-0.6253,-0.5994,-0.8320000000000001,-1.0968,-1.1518,-0.5471,-0.507,-0.0026,-1.3834,-0.4611,-1.784,-0.4649,-1.1527,-0.2911,-0.7849,-1.022,-1.0868,-1.1259,-0.6523,-0.3463,-0.4872,-0.6437,-1.0390000000000001,-0.382,-0.6537,-0.6573,-0.3494,-0.6890000000000001,-0.7727,-0.3432,-0.7594,-0.0726,-0.8119,-0.5848,-0.1359,-0.6042,-0.7678,-1.1426,-0.8701,-1.1029,-0.5239,-0.9267,-0.7293,-0.4363,-1.1109,-1.4355,-0.7802,-1.1663,-0.8017,-0.2801,-0.5095,-0.6829999999999999,0.41700000000000004,-0.4523,-1.1067,-1.1906,-0.6605,-1.0591,-0.8503,-0.9187,-0.2947,-0.083,-0.8215,-1.1847,-1.2895,-0.9231,-1.149,-1.2353,-1.1819,-0.5255,-0.9626,-1.0355,-0.6536,-1.2938,-0.7728,-0.7634,-0.9615,-0.4337,-0.8170000000000001
WNT10B,-1.246,-2.745,-1.773375,-1.670625,-1.205875,-1.892875,-1.483625,-2.5725,-2.133,-0.54075,0.74975,-0.40325,-2.315625,-1.0170000000000001,-2.2805,-0.833875,0.4355,-0.77475,-0.973,-2.356875,-2.310625,-1.1420000000000001,0.95125,-1.358375,-1.74425,-1.112625,-0.96775,-2.0225,-1.1520000000000001,-2.13925,1.71625,-2.352375,-0.802375,-2.811875,-0.880625,-1.427875,-1.876875,-0.04125,1.398125,-0.775,-1.571875,-2.301125,-1.26125,-1.319125,-1.35975,-1.43675,-0.0625,-2.135,-2.22675,-1.65725,-0.483,-0.0595,-1.64725,-2.171625,-0.0405,-1.761375,-0.8495,-1.322125,-1.6115,0.007124999999999991,-1.307625,-1.203125,-2.746375,-2.774875,-1.9205,-0.25225,-1.595625,-2.119,-2.2925,-1.000625,-2.1345,-1.78825,-1.193,-1.707375,-0.8735,1.05075,-2.485375,1.211125,-0.22475,-1.67075,-1.2815,-2.2,-0.985375,-1.83025,-2.240875,0.65325,-1.681375,-1.79275,-1.412375,-0.4885,-2.6365,-1.613375,-2.390625,-2.1355,0.486625
ZFYVE9,0.24075,1.20575,-0.07375,0.2075,0.374875,-0.4185,0.1035,0.36325,0.4595,-0.583875,0.2675,0.055375,0.4905,-0.233875,-0.105875,-1.250125,-0.203125,-0.042,-0.47700000000000004,-0.693625,0.25625,-1.090625,-0.272125,-0.9109999999999999,-2.03525,0.582625,1.436375,-0.70325,-0.072375,0.811125,-0.192875,-0.045125,0.435875,-0.055875,0.371625,-0.283375,1.3035,0.377,0.708625,0.812,0.7085,-0.97475,-0.0415,0.423625,-1.31525,-0.797875,-0.316375,-0.106375,1.736125,-0.3955,-0.9795,-0.517375,-0.634375,0.27399999999999997,0.99475,0.069375,0.3875,0.638875,0.28275,0.153125,-0.451375,-0.043375,0.65075,-0.73975,0.092875,-0.2205,-0.379125,-0.606625,-0.313625,0.235125,0.7685,-0.2062857143,0.25725,-0.1585,-0.245285714285714,0.7025,-0.087125,-0.071375,-0.16925,-1.098625,-0.0165,-1.097125,0.8220000000000001,-0.630875,-1.326375,-1.054625,-0.15875,-0.22325,0.218125,-0.307875,0.886625,0.56825,-0.071125,0.294375,-0.6425
EIF4E,0.37104545450000004,0.2202272727,-1.186636,-0.037000000000000005,0.5141818,-0.4410455,0.3105,0.0654761904761905,0.12313640000000001,-0.289681818181818,-0.36522727272727296,0.2162272727,-0.7853181818000001,-0.40677270000000004,-0.2300454545,0.07609091,0.1111363636,-0.39336363636363597,-0.0808636363636364,0.0235,-0.02981818,0.5437727272727271,-0.23713636363636398,-0.2066364,0.269227272727273,-0.41009090000000004,-0.3588181818,0.31640909090909103,-0.2635454545,0.8173182,-0.265045454545455,0.8230909,0.6365909000000001,0.5025,-0.5004090999999999,-0.40872727299999995,0.487454545454545,-0.254772727272727,-0.3350455,-0.107,-0.8425455,0.09027272730000001,0.1056364,-0.5225,-0.4387273,0.7865454545,-0.0225,0.0008181817999999999,0.013863636399999999,0.0536818181818182,0.3038181818,-0.35254545454545505,0.648227272727273,0.24586363636363603,-0.503181818181818,-0.527047619047619,0.297272727272727,-0.3946363636,-0.5555909090909089,-0.22218181818181798,0.043,-1.1195,-0.8217272727,-0.597136363636364,-0.3673636,0.2826364,-0.26986363636363603,-0.1796364,0.9009545454545459,-0.04040909,-0.400681818181818,-0.5183636364,-0.04390909,-0.41113640000000007,-0.11581818181818199,0.251090909090909,-0.641545454545455,0.8981363636363641,0.506636363636363,-0.3886364,-0.23652380952381,-0.08004545,0.601363636363636,-0.12127272730000001,-0.782454545454546,0.09190909,-0.0989545454545455,0.0358636363636363,-0.11609089999999998,0.6172727272999999,0.11604545454545499,0.37799999999999995,-0.573909090909091,0.2326363636,-0.6325
MDM2,-0.6561666667,-0.9575,-0.24975,-0.0319166666666667,0.8275,0.8608333,-0.06491667,-0.9095,-0.2598333,0.19,-0.924416666666667,0.56425,-0.35558333329999997,-1.0308329999999999,-0.7519090909,-0.4599167,-0.041583333300000004,-0.314333333333333,-0.752833333333333,-0.57675,-0.4323333,0.05575,0.5920000000000001,-0.2791667,-0.15575,0.3785,0.7065,0.44008333333333294,-0.8979166667,-0.726,-1.03883333333333,-0.1963333,-0.5198332999999999,-0.258,-0.7740833,-0.916333333,-0.23875,-0.5288333333333329,-0.7224166999999999,-0.5896666667,0.23841669999999998,0.2736666667,-0.4955,-0.300333333333333,-0.4150833,-0.6933333333,-1.099833,-0.5506667,-0.0853333333,-0.35775,-0.3548333333,-1.03466666666667,-1.03258333333333,-0.51925,0.17716666666666697,-0.4485,1.19316666666667,-0.7083333333,-0.551583333333333,-0.646916666666667,-0.3335833333,0.6626666999999999,-0.2911666667,-0.64725,-0.03725,-0.41183329999999996,0.564833333333333,-0.5870833000000001,-0.0258333333333333,0.28325,-0.3095,0.2675833333,-0.12425,-0.49641670000000004,1.68808333333333,0.02475,-0.163083333333333,-0.9925,0.10541666666666699,0.05275,-0.4296666666666671,-0.237,0.80125,-0.9491666667,-0.43691666666666706,-0.7511667,-0.2755,0.4599166666666671,-0.62475,-0.0776666667,-0.562416666666667,-0.50775,-0.30275,-0.63975,-0.03033333
