,TCGA-A2-A04W,TCGA-A2-A04X,TCGA-A2-A0CL,TCGA-A2-A0CX,TCGA-A2-A0CY,TCGA-A2-A0D1,TCGA-A2-A0EQ,TCGA-A2-A0T1,TCGA-A8-A075,TCGA-A8-A076,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-A8-A081,TCGA-A8-A08B,TCGA-A8-A08J,TCGA-A8-A08L,TCGA-A8-A08X,TCGA-A8-A092,TCGA-A8-A094,TCGA-A8-A09G,TCGA-A8-A09X,TCGA-A8-A0A7,TCGA-AN-A04C,TCGA-AN-A0FV,TCGA-AO-A03L,TCGA-AO-A03N,TCGA-AO-A0J2,TCGA-AO-A0JE,TCGA-AO-A12D,TCGA-AR-A0TX,TCGA-AR-A1AT,TCGA-B6-A0I9,TCGA-B6-A0IK,TCGA-B6-A0RH,TCGA-B6-A0RS,TCGA-BH-A0AW,TCGA-BH-A0B7,TCGA-BH-A0DZ,TCGA-BH-A0EE,TCGA-BH-A0HY,TCGA-BH-A18P,TCGA-BH-A18R,TCGA-BH-A1EV,TCGA-C8-A12L,TCGA-C8-A12P,TCGA-C8-A12Q,TCGA-C8-A12T,TCGA-C8-A12Z,TCGA-C8-A130,TCGA-C8-A135,TCGA-C8-A137,TCGA-C8-A138,TCGA-C8-A1HF,TCGA-D8-A13Z,TCGA-E2-A14P,TCGA-E2-A14V,TCGA-E2-A152,TCGA-E2-A1B0
CD82,1.33725,0.9785,0.84025,0.9215,0.47675,0.90675,1.0490000000000002,1.7245,1.7075,1.1025,0.89275,0.496,-0.06725,1.34475,0.013000000000000001,1.2815,2.0435,0.789,1.9,1.24425,2.5395,2.4505,1.899,0.8755,0.6709999999999999,0.7405,1.62025,1.67075,0.6755,1.65075,1.57175,-0.31275,1.6535,1.48125,2.11875,0.7725,1.65725,1.0055,1.59375,1.7875,1.22075,0.3635,-0.14675,1.16525,1.6645,1.0605,0.39525,1.508,1.15125,1.46025,1.9815,0.693,-0.24100000000000002,1.2885,1.7855,0.76525,2.128,1.63225
RICTOR,-1.0081,-0.624,-0.0215,-0.5771,-1.7064,-0.9439,-0.5920000000000001,-0.7914,-0.8625,-1.1955,-1.2259,-0.6697,-1.3248,-1.4201,-0.626,-1.3188888888888899,-0.7521,-1.1436,-1.2748,-1.5413,-1.0711,-0.9081,-0.5942,-1.2108,-0.7823,-0.9790000000000001,-1.419,-1.2284,-0.5447,-1.1088,-1.6029,-0.7406,-1.1017,-1.89511111111111,-1.2836,-1.5482,-1.5521,-0.9609,-1.0557,-1.1978,-0.8918,-0.9619,-1.7074,-0.7044,-1.1505,-0.5416,-1.1481,-1.9369999999999998,-0.9945,-0.9869,-1.2047777778,-1.4034,-1.5574,-1.1503,-1.0133333333,-1.5024,-1.2064,-0.574222222222222
POLD2,-0.4065,-0.962333333333333,-0.9681666999999999,-1.4138333333333302,-0.4921667,-1.443167,-1.471667,-1.1505,-0.5013333333,-0.627166666666667,0.139,-0.38299999999999995,-0.23166666666666696,-0.726,-1.29616666666667,-0.907333333333333,0.197666666666667,-1.03683333333333,0.15633329999999998,-0.635833333333333,-0.766333333333333,-1.242,-0.989666666666667,1.225833,-0.632666666666667,-1.9498330000000001,-1.6221666666999999,-1.114667,-1.10433333333333,-0.9445,-0.303,-1.7033333333333303,-0.6055,-0.5445,-0.943,-0.5421667,-0.765833333333333,-0.537,-1.17666666666667,-0.37566669999999996,-0.7768333000000001,0.0641666667,-0.11383333333333301,-0.785166666666667,-0.143166666666667,-0.5353333,-0.29516666666666697,-0.6023333333333329,-0.1331666667,-0.6448333333,0.060666666699999997,-1.2093333333,-1.1465,-0.609,-0.006833333299999999,-0.888,-0.939666666666667,-0.680333333333333
PTCRA,-0.0205,0.9915,1.489,0.4915,0.0535,-0.3725,0.7090000000000001,0.33899999999999997,-0.009000000000000001,0.29,-0.4975,0.3805,1.875,0.2295,0.0024999999999999896,0.408,-0.149,0.1805,0.3045,0.7525,0.6459999999999999,1.663,0.2405,-0.177,-0.2605,0.516,0.1405,0.7505,0.0515,0.8995,0.5395,0.3055,0.013999999999999999,0.2425,0.6455,1.1535,0.4345,0.1445,0.24,0.0345,0.1975,0.5295,0.1485,-0.258,0.6735,0.7925,-0.3825,0.1935,0.423,-0.20800000000000002,-0.047,0.0265,0.401,0.872,0.1055,0.2045,0.0155,0.079
FST,-2.59225,-3.85425,-3.095,-2.18875,-3.80975,-4.624,-4.6815,-3.802,-4.07125,-3.97325,-2.2475,-3.6830000000000003,-4.37675,-4.1595,-3.322,-4.833,-3.3965,-3.6415,-3.40775,-4.35825,-3.35325,-2.00725,-4.421,-2.6,-3.40575,-3.195,-3.93275,-2.076,-2.79525,-4.79175,-4.2185,-4.0725,-4.00025,-2.80575,-4.53575,-3.94175,-3.3685,-2.80925,-3.9235,-2.8125,-3.45675,-5.073,-2.2975,-3.73475,-3.4360000000000004,-3.042,-3.20875,-4.00375,-3.325,-3.89125,-2.9905,-2.38875,-3.1125,-3.9135,-4.07325,-3.19875,-3.4235,-4.0935
E2F4,-0.9715,-0.9848,-0.627,-1.1618,-1.1340000000000001,-1.2990000000000002,-1.4908,-1.1492,-1.0622,-1.0186,-1.4188,-0.8735,-0.7785,-1.1044,-0.8019,-0.8809,-1.0173,-1.3106,-0.8705,-1.117,-0.6633,-1.2409,-1.1466,-0.7717,-0.9963,-1.1963,-0.6954,-0.9837,-0.8711,-0.4483,-0.8453,-1.3495,-0.4351,-1.2699,-1.018,-1.2628,-1.0814,-1.3667,-1.5186,-0.9376,-1.3117,-0.6596,-0.9313,-0.8643,-0.9013,-0.7099,-0.7502,-1.5354,-1.1969,-1.0647,-1.5225,-1.0057,-1.6711,-0.9159,0.6156,-1.5068,-0.5548,-0.8105
WNT10B,-1.864625,-1.673,-1.538,-0.5885,-0.4925,-2.744375,-1.5845,-1.066625,-0.7535,-2.25775,-2.122125,-1.0615,-0.01,-1.817875,-2.248,-1.474125,-0.8385,-2.351875,-2.271375,-1.127,0.015375,-1.2965,-2.744375,-2.6455,-1.963375,-1.901875,-1.7745,-1.315875,-0.512625,-1.032625,-1.518625,-1.996125,-2.088375,-2.38325,-2.479875,-1.977625,-1.49525,-1.5785,-2.343625,0.626625,-2.176875,1.836375,-1.712625,-2.20675,-2.610875,-2.573125,-2.512375,0.323375,-2.336375,-2.77425,-2.40625,-1.567625,-1.7675,-2.46875,-2.094625,-2.238875,-1.91975,-1.469125
ZFYVE9,0.159,0.5115,-0.023375,0.685285714285714,-0.789625,0.795,-0.00625,-1.143625,-0.319875,-0.0837142857142857,-0.40275,0.37225,-0.098875,0.11425,-1.1035,0.6890000000000001,-0.165875,-1.63875,0.41,-1.76925,0.6054285714285711,-0.702125,0.118571428571429,-0.429,0.068125,-1.09875,-1.355875,-0.737375,-1.0979999999999999,0.0655,-0.51075,0.257125,-0.836125,-0.102125,-0.52325,-0.715875,-1.58975,-0.37325,-0.311375,-2.538625,-0.11699999999999999,-0.764,-1.512125,0.395125,-0.009874999999999991,-0.026000000000000002,-1.283125,-0.849875,-0.81725,-1.312625,-0.356625,-0.6125,-1.04025,-0.68325,-0.872125,-0.620125,-1.2705,-0.498375
EIF4E,0.0649545454545455,-0.45380952380952394,0.02154545,0.16459090909090898,-0.12572730000000001,0.4432273,-0.08677273,0.0135,-0.3199545455,-0.0605238095238095,0.3567727273,0.18590909090909102,-0.15395238095238098,-0.6161364,-0.00040909090909089103,-0.48813636363636403,-0.5936363636363641,0.20057142857142898,0.44536359999999997,-0.550227272727273,-0.17468181818181797,0.1605,0.39468181818181797,-0.03822727,0.294,-0.20668179999999997,0.28800000000000003,0.07231818,1.24004545454545,0.2901818182,0.3878636,1.0100454545454498,0.17954545454545498,-0.8634090909090909,-0.3294091,-0.22713640000000002,0.25718181818181796,0.18195450000000002,-0.19763636363636397,0.3298182,0.40127270000000004,0.419,-0.14800000000000002,0.292590909090909,0.10268181818181801,0.3495455,0.49831818181818205,0.1915,-0.3623636364,0.4115,-0.0180909091,-1.1184545455,0.0569090909090909,-0.283181818181818,-0.8024090909,0.45704545454545503,0.36404545454545506,0.138
MDM2,-1.17858333333333,0.21958333333333302,-0.6790833000000001,-0.0878333333333333,0.7969166999999999,-1.049167,-0.04841667,-0.35925,-0.2025,-0.17800000000000002,-0.209,-0.558166666666667,-0.3586666666666671,-0.3335,0.11,-0.26133333333333303,-0.80025,-0.608,-0.2129167,-0.3533333333333329,-0.00583333333333334,2.0868330000000004,-0.55575,-0.6801666999999999,-0.5861666666666671,0.2704167,-0.677,-0.9101667,-1.449,0.2710833333,-0.616,-0.5383333333333329,-0.5893333333333329,-0.21816666666666698,-0.25266669999999997,-0.2060833,-0.686666666666667,-0.2184167,-0.20241666666666697,-0.7108333,-0.15125,-0.1145,0.1155,-0.80975,-0.927166666666667,-0.15116670000000001,-1.08733333333333,-0.264083333333333,0.1564166667,-0.7696666667000001,-0.50425,0.1075833333,-0.6509999999999999,-0.621166666666667,-0.044000000000000004,-0.17291666666666697,0.19583333333333303,-0.9474166666666658
