,TCGA-A1-A0SM,TCGA-A2-A04R,TCGA-A2-A0CT,TCGA-A2-A0CW,TCGA-A2-A0D4,TCGA-A2-A0ER,TCGA-A2-A0EY,TCGA-A2-A0SV,TCGA-A2-A0SW,TCGA-A2-A0T3,TCGA-A2-A0T4,TCGA-A2-A0YG,TCGA-A2-A0YH,TCGA-A7-A0CJ,TCGA-A7-A13F,TCGA-A8-A06N,TCGA-A8-A06O,TCGA-A8-A06Q,TCGA-A8-A06R,TCGA-A8-A06X,TCGA-A8-A06Z,TCGA-A8-A079,TCGA-A8-A07L,TCGA-A8-A07S,TCGA-A8-A07W,TCGA-A8-A07Z,TCGA-A8-A082,TCGA-A8-A084,TCGA-A8-A085,TCGA-A8-A08F,TCGA-A8-A08G,TCGA-A8-A08I,TCGA-A8-A08P,TCGA-A8-A095,TCGA-A8-A096,TCGA-A8-A097,TCGA-A8-A09C,TCGA-A8-A09D,TCGA-A8-A09I,TCGA-A8-A09M,TCGA-A8-A09N,TCGA-A8-A09Q,TCGA-A8-A09R,TCGA-A8-A09W,TCGA-A8-A09Z,TCGA-A8-A0A9,TCGA-A8-A0AB,TCGA-AN-A03Y,TCGA-AN-A041,TCGA-AN-A049,TCGA-AN-A0AJ,TCGA-AN-A0AK,TCGA-AN-A0AM,TCGA-AN-A0AS,TCGA-AN-A0FF,TCGA-AN-A0FK,TCGA-AN-A0FY,TCGA-AN-A0XR,TCGA-AN-A0XW,TCGA-AO-A03O,TCGA-AO-A03P,TCGA-AO-A0J3,TCGA-AO-A0J7,TCGA-AO-A0JC,TCGA-AO-A0JD,TCGA-AO-A0JI,TCGA-AO-A0JM,TCGA-AO-A12B,TCGA-AQ-A04H,TCGA-AR-A0TQ,TCGA-AR-A0TT,TCGA-AR-A0TV,TCGA-AR-A0TY,TCGA-AR-A0TZ,TCGA-AR-A0U2,TCGA-AR-A0U3,TCGA-AR-A1AV,TCGA-B6-A0IB,TCGA-B6-A0IC,TCGA-B6-A0IM,TCGA-B6-A0RL,TCGA-B6-A0WV,TCGA-B6-A0WW,TCGA-B6-A0X5,TCGA-BH-A0AU,TCGA-BH-A0AY,TCGA-BH-A0B5,TCGA-BH-A0BD,TCGA-BH-A0BF,TCGA-BH-A0BZ,TCGA-BH-A0C0,TCGA-BH-A0C3,TCGA-BH-A0C7,TCGA-BH-A0DD,TCGA-BH-A0H0,TCGA-BH-A0HU,TCGA-BH-A0HW,TCGA-BH-A0W3,TCGA-BH-A18F,TCGA-BH-A18J,TCGA-BH-A18L,TCGA-BH-A18U,TCGA-BH-A1EW,TCGA-C8-A12M,TCGA-C8-A12U,TCGA-C8-A12W,TCGA-C8-A12X,TCGA-C8-A1HG,TCGA-C8-A1HL,TCGA-C8-A1HM,TCGA-C8-A1HN,TCGA-D8-A13Y,TCGA-D8-A140,TCGA-E2-A107,TCGA-E2-A109,TCGA-E2-A10A,TCGA-E2-A10C,TCGA-E2-A14O,TCGA-E2-A14S,TCGA-E2-A14W,TCGA-E2-A155,TCGA-E2-A15A,TCGA-E2-A15K,TCGA-E2-A15L,TCGA-E2-A15M,TCGA-E2-A15S,TCGA-E2-A15T
CD82,1.11125,-0.06525,-0.792,1.068,-1.2915,0.42675,1.20425,1.4780000000000002,1.272,0.64,0.74175,0.0065,0.8375,1.31525,0.35675,-0.4265,0.92175,1.4080000000000001,0.2335,-0.32375,-0.58925,0.66975,0.27575,1.08175,1.07475,0.32075,1.0185,1.855,-0.55925,1.0765,-0.15425,1.51825,1.23025,0.90975,0.5945,0.863,0.9225,2.15125,1.3225,0.51925,0.8,0.41925,0.49575,1.42225,0.94925,0.97725,-0.3945,-0.46625,0.21100000000000002,0.5945,0.52575,-0.52725,0.6515,1.69175,1.5495,0.9455,0.723,1.35475,0.293,0.98425,-0.41675,-0.581,-0.745,1.805,-0.4185,0.29125,1.17,-1.05775,-0.775,0.047,0.83675,0.40325,-0.2295,0.44,-0.0225,1.463,1.107,1.1525,0.41325,0.05725,-1.153,-0.20675,0.6115,1.214,0.7255,1.72375,0.63925,1.4005,1.30825,2.18275,1.69875,0.16275,-0.163,0.22725,-0.1895,0.17675,-1.17125,1.41125,1.60575,1.35275,0.01025,-0.66275,0.39375,-0.66075,-0.39375,1.06725,1.913,0.37200000000000005,-0.34575,0.54925,-0.317,1.23925,-0.45625,1.729,-0.0355,0.35025,1.19825,0.79525,1.01675,0.16925,-1.3719999999999999,0.63475,-0.054000000000000006,0.5015,0.69275,-0.9275,-0.94
RICTOR,-0.6795,-0.2785,-0.6125,-0.929,-0.7467,-1.1334,-1.5608,-0.8525,-0.9218,-1.0646,-0.8704,-0.8884,-0.8618,-0.9865,-1.3265,-0.114,-0.7773,-1.212,-1.2533,-1.1938,0.1071,-1.2259,-1.1796,-0.9841,-0.9906,-0.8766,-0.7465,-0.9535,-0.9699,-0.0156,-0.6543,-0.4517,-1.0113,-1.4134,-0.7426,-0.8190000000000001,0.7033,-0.9524,-1.0859999999999999,-0.3651,-0.9065,-1.1752,-0.6587,-1.6468,-1.1475,-0.3293,-0.5583,-0.0655,-0.4683,-0.7825,-0.9907,-1.1806,-1.2298,-1.0569,-0.7589,-1.19033333333333,-0.48,-0.5579999999999999,-0.9401,-1.850444,-0.669,-0.6206,-1.1440000000000001,0.2183,-1.085,-0.6237,-1.0974,-0.6605,-0.3492,-0.7321,-0.4016,0.055,-1.0204,-0.5183,-0.7599,-0.7271,-0.3981,-1.5831,-0.9681111111111109,-0.8345,-0.506,-0.8864,-1.6643,-1.7467,-0.4689,-1.4969,-0.3574,-0.9405,-0.3844,-1.74122222222222,-0.6308,-0.5927,-0.5995,-0.3372,-0.4783,-0.8262222222222221,-0.4342,-0.5476,-0.633,-1.2738,-0.3969,-0.8515,-0.2292,0.0219,-1.0517,-1.6235,-1.5251,-1.8165,-0.3302,-0.4792,-0.838,0.5323,-0.1808,-1.3624,-1.0628,-0.1295,-1.3224,-0.8362,-0.4873,-1.0402,0.1396,-1.0541,-0.9723,-0.5449,-0.3149,-0.2536,-0.5353
POLD2,-0.7843333333,-0.7971666999999999,-0.512,-1.94,-1.00616666666667,-0.970666666666667,-0.879166666666667,-0.47216670000000005,-0.6058333,0.5063333,-1.1115,-0.3528333,-0.5238333,-0.42783329999999997,0.878333333333333,-0.61,-0.4223333333333329,0.1251667,0.5201666666666671,0.7306666999999999,-0.5335,-0.643166666666667,-0.214,-1.516333,-1.1235,-0.7783333333,-0.3546666667,-0.9946666666666658,-0.5123333333333329,-0.6641667,-0.0855,-1.0865,-0.2906666667,-0.510666666666667,-1.25683333333333,-0.858,-0.596,-1.1425,-0.5396666666666671,-1.0666666667,-0.20233333333333303,0.18483333333333302,-1.08483333333333,-0.465,-0.7463333000000001,-0.39933333333333293,-1.081333,-0.21,-0.9518333000000001,-0.318,-1.027333333,0.109666666666667,-0.42033329999999997,-0.4913333333,-1.179,-1.07783333333333,-0.31733333329999996,-1.135167,-0.8743333333,-0.3486667,-0.614,-0.461,-0.852166666666667,-1.8966669999999999,0.1286667,-1.66,-0.6920000000000001,-0.7056666667,-0.5881666667000001,-0.9166667,-0.5576667,-0.11633330000000001,-0.6013333333333329,-0.0175,0.308,0.3486667,-1.08783333333333,-0.18166670000000001,-0.5720000000000001,-0.3966666666666671,-0.5153333333333329,-0.23283333333333303,-1.036833,-0.5445,-1.2445,-0.6606666666666671,-0.8398333,-0.8863333333,-0.753166666666667,-0.308166666666667,-0.846,-0.7495,-0.46616666666666706,-1.1795,-0.9006666666666671,-0.982,-1.4125,-0.6775,-1.2025,-0.632833333333333,-0.5920000000000001,-1.175,-1.4851666666999999,-0.528,-0.7378333,-0.8423333333333329,-0.134,-1.2441666667,-0.4765,-1.071,-1.3691666666666698,-0.3866666666666671,-0.9896666999999999,-0.7265,-0.37816666670000004,-0.9595,-1.608,-0.6985,-0.9358333000000001,-0.7645,0.0605,-0.894833333333333,-1.5835,-0.8485,-0.8165,-1.2163329999999999,-0.3591666666666671
PTCRA,-0.151,0.0555,-0.382,0.5415,-0.0735,-0.2855,0.614,0.248,0.6015,-0.1695,0.5875,0.078,0.1205,-0.0575,0.0925,-0.397,0.5045,0.1875,0.079,-0.0975,-0.24600000000000002,-0.0375,-0.316,0.2335,-0.193,0.1905,-0.34,-0.045,-0.1905,-0.462,-0.2445,0.895,0.3585,-0.0575,0.6025,-0.1555,-0.3265,0.777,0.4995,0.508,0.019,1.3315,0.033,0.3315,-0.0755,-0.1275,-0.24100000000000002,-0.7240000000000001,-0.3035,0.0495,0.3025,-0.0825,-0.061,0.1335,0.299,0.688,-0.3115,-0.0185,0.5755,0.5245,-0.109,-0.067,0.09300000000000001,2.4130000000000003,0.057999999999999996,-0.6679999999999999,-0.21,0.0355,-0.3785,1.182,1.119,0.033,0.2695,-0.626,0.1165,-0.1295,1.5935,-0.4585,-0.2225,0.10400000000000001,-0.4905,-0.41200000000000003,0.0085,0.124,-0.1715,-0.052000000000000005,-0.102,-0.152,0.1905,0.9125,2.219,-0.0765,0.0535,-0.4275,-0.2455,-0.45,0.0865,0.556,0.285,0.083,0.031,0.0445,0.5945,-0.076,0.5025,0.731,0.1425,0.5475,1.297,0.5875,0.384,-0.35100000000000003,-0.237,-0.0315,-0.0185,0.095,0.1815,0.4435,-0.0425,0.2925,-0.1145,0.1565,0.392,-0.209,0.163,-0.2585,-0.3635
FST,-2.9515,-3.9765,-4.23425,-4.20425,-4.47625,-4.4425,-4.1725,-4.31025,-3.25875,-3.6910000000000003,-1.25625,-4.147,-2.76525,-2.7560000000000002,-4.9225,-5.39375,-4.45225,-5.17525,-2.73625,-3.588,-3.313,-4.38475,-4.5625,-4.7095,-3.06175,-4.40475,-4.575,-3.4819999999999998,-3.4005,-4.41175,-3.1095,-4.321000000000001,-3.531,-3.66175,-2.2615,-3.01675,-2.1335,-4.015,-4.107,-4.2225,-4.02525,-4.43875,-2.6845,-3.7510000000000003,-4.522,-3.92375,-4.29425,-4.04125,-1.26825,-4.01725,-4.03125,-4.7795,-3.7225,-2.5595,-4.72875,-4.5015,-4.4145,-3.627,-1.42475,-4.2905,-3.7455,-5.09675,-4.319,-3.83625,-4.90525,-4.52075,-3.2239999999999998,-3.6510000000000002,-4.62675,-4.53075,-3.2775,-4.8255,-3.6775,-4.918,-5.1085,-4.553999999999999,-4.03725,-2.8845,-4.981,-4.13175,-5.13175,-3.6325,-2.2975,-4.311,-3.3945,-3.80225,-3.015,-4.34475,-2.13275,-3.25925,-4.94875,-3.84175,-3.73725,-4.398,-4.8735,-4.782,-4.96825,-4.45925,-3.1645,-1.413,-4.60825,-3.79525,-2.4325,-5.29825,-4.50675,-3.59625,-3.761,-3.78075,-3.9595,-4.07075,-3.843,-4.37,-3.37175,-4.46,-4.4665,-2.4435,-3.9435,-3.284,-4.6575,-3.90875,-5.84575,-3.86125,-4.28675,-2.93075,-4.39575,-4.10625,-4.7555
E2F4,-0.7906,-1.9171,-1.5332,-1.0441,-1.579,-1.3621,-1.6671,-0.4145,-0.5319,-0.7787,-1.2841,-0.3221,-0.9371,-1.4007,-0.2756,-1.4994,-1.4069,-1.1511,-0.885,-0.9784,-1.2195,-1.6438,-0.9842,-1.3928,-0.5439,-0.8044,-0.8127,-1.1319,-0.8796,-0.5749,-0.7715,-0.4526,-1.0441,-1.0529,-1.3837,-0.6763,-1.0938,-1.1702,-0.5295,-1.5401,-1.0451,-1.2014,-0.943,-0.9852,-1.0801,-0.9839,-1.7336,-0.7662,-0.6066,-1.2187,-0.9717,-1.03,-0.5695,-0.6766,-1.1709,-1.7693,-0.6544,-1.6315,-0.9112,-1.0934,-0.8458,-1.1681,-0.9678,-0.2777,-1.0405,-1.8475,-1.0187,-1.5589,-0.5146,-0.8035,-0.3825,-1.3279,-0.614,-0.7741,-1.4478,-0.9821,-0.7151,-1.8138,-1.9014,-1.3483,-1.5337,-1.1773,-1.7423,-0.9807,-1.4064,-1.2295,-0.9628,-0.8575,-0.3735,-0.3355,-0.5548,-0.8976,-0.8415,-1.6617,-1.1562,-1.5572,-2.1041,-1.643,-1.1027,-1.339,-1.4779,-0.9832,-1.0344,-1.4032,-1.0951,-1.4029,-1.2309,-1.4625,-0.3157,-0.9099,-1.4548,-1.9193,-0.9890000000000001,-1.5002,-1.4662,-1.5815,-1.0335,-0.9531,-1.6544,-1.84,-1.4709999999999999,-1.258,-1.6101,-1.5687,-0.8351,-1.5537,-0.6538
WNT10B,-2.640125,-2.86925,-1.870125,-2.50775,-1.688625,-2.739625,-1.602875,-1.090375,-1.393625,-0.69375,-1.00525,-0.51,-2.404,-2.228,-3.26,-3.408375,-2.0485,-0.297125,-2.169625,0.941875,-0.220125,-0.200875,-1.424375,-2.374125,-1.277375,-1.992125,-2.81275,-2.339375,-2.89225,-1.917125,-2.0285,-1.446375,-0.470125,-2.67675,-2.292375,-2.44825,-2.386375,-2.183125,1.803375,0.216875,-2.517625,-0.237625,-1.524625,-1.865125,-2.125875,-1.98675,-2.997625,-1.7905,-2.7175,-2.077875,0.28125,2.1295,0.28725,-1.95075,-1.97975,-1.939875,0.037125,-1.922625,-2.6155,-1.910125,-1.137,-2.763,-1.88575,0.16,-2.3415,-0.8315,-1.738625,-1.611875,-1.44275,-1.133625,0.374875,-1.272875,-0.91175,-1.374375,-1.743,-2.178375,-0.129375,-3.347,-1.346125,-2.216875,-2.202,-1.195375,-2.709125,-2.58475,-2.243625,-1.282125,-1.38875,-2.545625,-1.344,-0.995625,-1.76975,-1.1445,-2.1255,-2.898625,-2.903875,-1.907875,-3.245625,-3.320875,-1.187,-1.885375,-2.91075,-1.063875,-1.77375,-2.824125,-0.634625,-2.685,-2.44275,-1.877875,-2.3280000000000003,-0.4025,-1.99475,-1.759875,-0.82325,-2.959625,-1.62475,-2.939625,-0.968125,-1.863625,-2.12775,-1.5895,0.675375,-1.93825,-1.66325,-2.970625,-0.6825,1.015375,-2.332125
ZFYVE9,0.796875,-0.6265,0.77875,-0.032125,0.241125,1.011125,-0.6291428571428571,-0.20425,-0.3215,-0.2965,-0.796875,-0.768,-1.198125,0.499,-0.627625,1.09775,-0.815,0.50425,-1.2690000000000001,-2.945875,0.297,-0.8792857142857142,0.388125,-1.9165,-0.6375,-0.249375,-0.1675,-2.57957142857143,-1.25675,-0.18975,-0.754375,0.680875,-0.361625,-1.139625,-2.073875,0.109875,-0.3885,-0.477625,-0.669875,-1.1079999999999999,-0.7945,0.86125,-1.567875,-0.21375,-0.99075,-0.7745,0.125125,-0.711625,-0.09025,-0.525,-0.4445,-0.969625,0.203375,-0.4775,0.9425,0.03925,-0.080375,-2.192125,-0.11725,0.504,-0.16175,0.395875,-0.13075,-1.290857,-1.151125,0.500375,0.7809999999999999,-0.885375,-0.100625,-0.725125,-0.692375,1.49275,-0.28025,0.33825,-0.52775,-0.604625,-1.892,0.382375,-0.00812499999999997,-0.0655,0.848375,-0.621,-0.556625,-0.116875,-0.899,-0.767625,-0.889625,0.181625,-1.48175,-1.5095,-0.926875,-0.716875,-1.360375,0.102625,-0.155,0.1695,-0.166125,0.4395,-1.6785,-0.141375,-0.59925,-0.9540000000000001,-0.219125,-0.0910000000000001,-1.175,-0.836875,-2.3785,-0.2445,-1.14075,-1.139875,-0.8285,-0.702625,-0.178125,0.611125,0.03725,0.49525,-1.09325,-1.109875,0.056375,0.471375,-2.119,-0.381375,-2.427125,0.19285714285714303,-1.166125,0.9329999999999999,0.2585
EIF4E,0.1696818182,-0.3011818,0.864318181818182,-0.34554545454545504,0.11518181818181801,0.633272727272727,-0.420772727272727,0.2450909,-0.08195455,0.7486818000000001,0.250727272727273,0.3264091,0.3076364,0.3529545,0.2415,0.3251364,0.310454545454545,-0.3134545,-0.503136363636364,-0.04854545,-0.3405238,0.784863636363636,-0.39918181818181797,0.006772726999999999,0.597954545454546,0.057181818200000005,-0.10431818179999999,-0.0315454545454546,0.237090909090909,-0.46240909999999996,0.5823636,-0.561045454545455,-0.22245454550000002,0.29913636363636403,0.16945454545454502,0.37331820000000004,-0.726,0.329590909090909,0.37822727272727297,0.05777272730000001,0.800863636363636,0.10727272727272699,0.264227272727273,0.2943636,0.08322727,0.521909090909091,0.5854090999999999,0.6002380952,-0.3873636,-0.42013636363636403,-0.061363636,1.1201363636363602,-0.03931818,0.2660909091,-0.598772727272727,-0.739909090909091,-0.1052272727,-0.5473636,-0.7993636364,0.09118182,0.0666818181818182,0.1822727273,-0.401363636363636,-0.6031818,0.4016818,0.8460476190476189,-0.168863636363636,0.2565454545,0.018863636399999998,0.23031820000000003,0.4362727,0.02918182,-0.20895454545454503,0.5177272727000001,0.3868182,-0.3817273,-0.0879090909090909,-0.3105,0.6898095238095239,0.0349545454545454,-0.138909090909091,-9.0909090909062e-05,0.1478182,-0.02822727,0.7050909000000001,0.66,0.3173636,0.2414090909,-0.10013636363636401,0.12845454545454502,0.05272727,0.18631818181818202,0.303045454545455,0.6650455,0.278,-0.36604545454545506,0.989136363636364,-0.6069091,0.2124091,-0.408590909090909,0.39654545454545503,0.6149523809523809,0.8293181818,-0.330954545454546,-0.01909091,-0.00140909090909091,-0.11881818181818199,0.2440909091,-0.39227272727272705,-0.06290909089999999,-0.0390909090909091,-0.770863636363636,-0.11659089999999998,0.1162272727,0.4456363636,-0.0575909090909091,-0.5671363636,-0.18386363636363603,0.5427727,0.487181818181818,0.5237727273,0.611545454545455,-0.315636363636364,0.453409090909091,-0.0790454545,-0.8953636,0.0854090909090909
MDM2,-0.4826666667,0.8171666999999999,0.0116666666666666,0.09875,0.125833333333333,0.670833333333333,-0.45899999999999996,-0.8051666999999999,-0.03483333,-1.204083,-0.289416666666667,-0.6916667,0.21725,-0.15041670000000001,0.145583333333333,0.04608333,-0.4074166666666671,0.7293333000000001,0.478,0.3715833,0.09425,-0.5436666666666671,-0.2285,-0.1825,-0.583833333333333,0.8348333333,-0.5484166667,-0.259333333333333,0.042,1.85575,-0.56175,0.0330833333333334,0.0260833333,-0.655333333333333,-0.7120833333333342,-0.74475,0.19483333333333303,2.33208333333333,-0.0418333333333333,0.80075,-0.33825,-0.32025,-0.63975,-0.2155833,-0.2951667,0.8503333333333329,-0.8163333,-0.4566666667,-0.5765833,0.3195,-0.183,-0.143666666666667,3.455917,0.05675,0.77725,0.4368333333333329,-0.47100000000000003,-0.4295,-0.8886666667,-0.1885,1.01033333333333,-0.4196666667,-0.59825,0.0009166667,-0.06825,-0.5060833333333329,-0.0113333333333334,-0.4106666667,-0.9660833333,-0.04925,0.5109167,-0.18466670000000002,0.76625,-0.52775,-0.19416670000000003,-0.76825,-0.43958333333333294,0.00375,-0.43691666666666706,-0.756833333333333,0.763583333333333,0.17925,0.1228333,-0.5564167,-0.07833333,-0.47316666666666707,-0.80475,-0.5126666667,-1.01933333333333,0.24666666666666698,-0.2403333,-0.637916666666667,-0.635083333333333,-0.69325,-0.19233333333333302,0.265583333333333,0.604833333333333,-0.40125,-0.565,0.032,-0.22433333333333302,-1.35308333333333,1.2869166667,0.862416666666667,1.585417,-0.37508333333333294,1.115,-0.1651666667,-0.796166666666667,-0.3266666667,3.30741666666667,0.239,-0.05758333,0.4340833333,-0.7175,-0.338333333333333,2.1533333333,0.744666666666667,-0.1993333,1.87633333333333,-0.244,-0.0121666666666667,-1.00733333333333,-0.34808333333333297,-0.8425,0.2716667,-0.726583333333333
