,TCGA-A2-A0YK,TCGA-AO-A03R,TCGA-AO-A03T,TCGA-AO-A03U,TCGA-AO-A0JB,TCGA-AR-A1AO,TCGA-B6-A0IE,TCGA-E2-A108
CD82,1.5085,0.58125,0.66875,1.40975,1.091,1.6869999999999998,-0.154,1.3795
RICTOR,-0.5009,-1.1293,-1.1067,-0.9406,-1.3476,-1.0984,-1.2065,-0.4708
POLD2,-1.1095,-1.35966666666667,-1.19233333333333,-1.2205,-0.846833333333333,-1.3230000000000002,-1.61833333333333,-1.8908333333
PTCRA,1.085,0.5515,0.6465,1.7409999999999999,0.9045,1.761,0.11800000000000001,0.9095
FST,-3.00375,-4.02075,-4.06475,-4.18425,-2.8935,-3.9425,-3.23375,-2.501
E2F4,-0.8196,-1.2773,-1.2504,-0.6972,-0.9204,-0.7856,-1.123,-0.9071
WNT10B,-1.83775,-1.954875,-1.627875,-2.075375,-0.893625,-2.215375,-2.2055,-1.918375
ZFYVE9,-1.412625,0.14225,-0.137625,-0.21175,-0.882,-1.28825,-0.2835,-1.0075
EIF4E,-0.28022729999999996,0.130636363636364,-0.6302727272727271,0.16245454545454502,-0.696666666666667,0.680318181818182,-0.4065,0.41140909090000005
MDM2,-0.75125,0.00908333333333333,0.899083333333333,-0.67,0.559333333333333,0.322333333333333,-0.22383333333333302,-0.5945
AKT2,-0.6925,-0.4815,-0.6572142857142861,-0.9082142857142859,-0.108142857142857,-1.07835714285714,-0.5108571428571429,-1.0492142857
CCNB2,-3.213778,-0.618,-2.02655555555556,-3.2653333333333303,-1.9621111111111103,-1.70022222222222,-1.8218888888888898,-2.2612222222
CCNE2,-2.195727,0.127909090909091,-1.55227272727273,-2.64609090909091,-2.0993,-1.83263636363636,-1.13936363636364,-0.023454545499999997
RAD50,-0.157625,-0.63625,-0.71725,-0.534125,-1.90425,-0.7005,-1.0270000000000001,-0.79925
INHBE,-1.76,-0.799666666666667,-1.02633333333333,-1.104,-1.6071666666666697,-1.3544,-1.8261666666666698,-1.222
HDAC1,0.038,0.0773333333333333,-0.5695,-0.4936666666666671,-0.4616666666666671,-0.769333333333333,-1.05433333333333,-0.2955
IL1R1,2.1295,0.8105,-0.0475,2.6576666666666697,0.207833333333333,3.35533333333333,0.684166666666667,2.7416666667
RRAGB,1.199167,0.315,-0.4468333333333329,-0.0391666666666667,-1.615,0.21516666666666698,-0.19483333333333303,0.6855
DFFB,-0.2918,-0.6343,-0.6978,-0.4423,0.1245,-0.00609999999999999,-0.4227,-0.1329
AIFM1,-0.6785,-0.22725,-0.08675,-0.6409999999999999,-0.0165,-0.18025,0.04975,0.0305
TOP3B,-0.42375,-0.92875,-1.0655,-0.66125,-0.52025,-1.0015,-0.6475,-1.5875
BMPR1A,0.16166670000000002,-1.04416666666667,-1.00966666666667,0.583833333333333,-1.07783333333333,-0.29716666666666697,0.0768333333333333,0.1811666667
SMAD3,-0.0301,0.2444,-0.5732,-0.8972,-0.705,-0.8831,0.1369,-0.3854
PRKAR2A,-0.41466670000000005,0.4293333333333329,-0.265,-0.1895,-0.861333333333333,-0.998833333333333,-1.7501666666666698,-0.021
MAP3K14,1.351,0.40175,0.14525,0.79275,0.3095,1.02925,-0.868,1.00425
RAB23,-0.317,-0.60625,-1.05875,-0.28800000000000003,-1.0595,-0.80675,-0.22825,0.07025
MAML3,0.15925,-0.08575,-0.040375,0.03075,0.621571428571429,-0.069125,0.28585714285714303,-0.057625
CASP3,0.337,0.2005,-0.133166666666667,-0.11699999999999999,-0.24266666666666697,0.276166666666667,0.4423333333333329,0.2535
GADD45G,1.5825,2.79,3.4901,1.253,2.8551,2.0751,1.8337,1.6225
SP1,0.23275,1.193625,0.38625,1.65475,0.623,0.620625,1.348,0.79375
RRM2,-2.688875,-2.352125,-1.968125,-3.367875,-3.310375,-2.449875,-2.9605,-2.24325
WNT2B,1.2229999999999999,-0.746166666666667,1.3891666666666698,0.318333333333333,0.767333333333333,0.4876666666666671,1.3428333333333302,0.4018333333
FBXW11,-0.9105,-0.35216666666666707,-0.4291666666666671,-0.715833333333333,-1.13016666666667,-1.3993333333333302,-0.762666666666667,-1.0183333333
AKT1S1,-0.5365,-0.16425,-0.34299999999999997,-0.61275,-0.7235,-0.5775,-0.768,-0.50775
CSNK1G3,-0.1785714,-0.24121428571428602,-0.351357142857143,0.0769285714285714,-1.3055,-0.48192857142857104,-0.38842857142857107,-0.1621428571
TGFBR2,1.912625,0.475125,-0.26625,4.265625,-0.082625,1.484125,-0.47675,1.88175
NOTCH3,1.7681669999999998,1.963,1.8206666666666698,1.6248333333333302,3.3878333333333304,2.1228333333333302,2.5745,0.8931666667
IGF1,4.408125,3.2046875,2.5758125,3.3545625,3.2246875,4.5718125,5.1653125,4.6686875
TOP3A,-1.0170000000000001,-0.6115,0.215,-0.578,-0.299,-0.922,-0.679,-0.5945
BBC3,0.021,0.519421052631579,1.01478947368421,0.31168421052631606,1.54994736842105,0.9723157894736841,0.266631578947368,-0.4618947368
WNT8B,-0.0185,-0.1635,0.8690000000000001,0.551,-0.9990000000000001,0.163,-1.0045,-0.498
ENDOG,-1.14,0.4715,-0.594,-0.44,-0.6065,0.0375,-1.5730000000000002,-0.759
WNT3,-1.1575,2.125,2.1121666666666696,1.22083333333333,1.84116666666667,-1.171,1.5575,-0.9815
TNF,2.203071,0.1755,0.5545714285714289,1.6629285714285702,0.30585714285714305,1.9777857142857098,1.30028571428571,1.7867142857
IL1A,-2.444125,-2.3165,-2.615625,-0.930375,-2.376625,-1.2275,-2.9291428571428595,-1.767625
CREBBP,0.3089167,0.842416666666667,0.26225,0.19058333333333302,0.55575,0.46399999999999997,0.696333333333333,0.5455833333
GLI1,0.80275,-1.17675,-1.21675,-2.22675,-0.53475,-1.6195,0.02125,-0.21425
BMP7,-3.100917,-3.48775,-1.979,-4.176666666666669,-2.0605,-1.3531666666666697,-3.21358333333333,-1.435
TGIF2,0.315,-0.835,-1.83975,-0.7165,-1.89475,-0.36275,-0.43275,-0.15325
PIK3CD,1.355429,-0.10485714285714301,-0.36892857142857105,1.26821428571429,0.11378571428571402,1.5712142857142901,-0.953857142857143,1.3495
DLL4,3.09375,1.0925,0.9915,2.90625,1.19975,1.66175,-0.49925,2.04575
WNT1,0.6397,0.2872,0.2035,0.4616,-1.055,0.23433333333333303,-0.8868,0.4047
DTX2,-0.0095,-0.2025,-0.48,0.3255,0.3385,0.7935,0.557,-0.075
PPP3CB,1.126333,0.9570000000000001,0.631666666666667,0.16699999999999998,-0.5255,0.1965,0.0478333333333333,0.6715
MAPK1,-0.506,-1.344375,-1.86725,-0.45925,-2.495,-0.1315,-1.83575,-0.414625
IKBKB,0.7239286,0.9760714285714291,0.48042857142857104,0.37007142857142894,0.3966428571428571,0.0657857142857143,-0.253071428571429,-0.0405
WNT11,1.0861,0.2293,-0.3638,-0.4005,0.3564,0.5871,-0.0874,1.1059999999999999
ACVR1,0.9956666999999999,-0.18283333333333301,-0.1835,1.37766666666667,-0.17916666666666697,1.0295,-0.15433333333333302,0.9515
APH1B,0.9520000000000001,1.14183333333333,2.0686666666666698,1.6306666666666698,0.265166666666667,2.3331666666666697,0.5311666666666671,1.4641666667
PRKACA,-0.18075,0.34475,0.7925,0.285625,0.5275,-0.053125,-0.0991250000000001,-0.271
POLD3,-0.8830833,-0.4489166666666671,-0.0275,-0.42925,-0.621916666666667,-0.5048333333333329,-0.3961666666666671,-0.34541666670000004
NBN,0.32525,0.4525,0.456125,-0.325875,-0.191375,0.23475,1.665375,1.395375
RPA2,-0.17725,-1.133,-1.51275,-0.19025,-0.7205,-0.21425,-0.19275,0.002
TNFSF10,4.9938,2.088,2.1304,4.8507,2.7454,5.5237,2.1013,3.4931
DTX3L,1.3165,0.691666666666667,1.02683333333333,1.425,-0.9078333333333329,1.7223333333333302,0.18333333333333302,1.7185
ULK1,-0.6233333000000001,-0.5660833333333329,0.11,-0.4826666666666671,-0.9794166666666658,-0.735083333333333,-0.32825,-0.3438333333
TSC2,0.22225,-0.26575,-0.54825,-0.10075,-0.0785,-0.28175,-0.1745,0.0465
MRE11A,-0.15871429999999997,-0.536714285714286,-0.5878571428571429,-0.35042857142857103,-0.0055714285714285605,-0.668714285714286,-0.583214285714286,-0.0413571429
CDK6,-2.0392,-3.2733,-2.8862,-1.3388,-2.8575,-1.5281,-3.0323,-1.7721
SMAD7,0.7395,-0.11975,0.183,1.8090000000000002,-0.15,-0.0105,0.0285,1.16275
XRCC3,-1.1065,-0.28225,-0.672,-0.78575,-0.3435,-1.1685,-0.78325,-1.1415
CHUK,0.21,-1.26775,-1.98675,0.03775,-2.24325,-0.345,-2.134,0.1425
CSNK1D,-1.135167,-0.626833333333333,-0.256833333333333,-0.586,0.057999999999999996,-0.546,-1.05883333333333,-1.2188333332999999
IL3,-0.2795,0.51425,0.5331428571428571,-0.11775,0.0215,0.4525,0.0487142857142858,0.29375
PTCH1,-0.66725,-0.937125,-0.835625,0.00175000000000001,-1.176375,-1.0795,-0.818625,-1.03475
CSNK1A1,0.63565,0.0854,0.3959,0.24485,-0.3203,0.5632,-0.4897,0.33995
JAG2,1.32075,0.8320000000000001,0.66125,0.11075,1.94625,1.36675,0.38375,1.0045
MYD88,0.733875,0.528625,-0.260625,0.82725,-0.45725,1.45875,-1.1485,0.148125
FADD,-0.1817,-0.7511,-0.9783,0.2194,-0.8706,-0.4417,-0.0683,-0.7429
